pathway	N367M	N515M	TD181207731	TD181207732	TD181207733	TD181207736	TD181207739	X010M	X254	X275	X283	X294	X314	X321	X341	X353	X360	X361	X385	X391	X392	X431	D22BD538_461	D22BD540_524	D22BD542_455	D22BD543_285	D22BD546_302	D22BD547_260	D22BD548_308	D22BD550_238	D22BD552_244	D22BD554_316	D22BD555_248	D22BH739_268	D22BH741_298	D22BH742_330	D22BH744_370	D22BH746_377	D22BH747_383	D22BH748_389	D22BH750_427	D22BH752_439_2	D22BH753_454_1	D22BH757_476	D22BH759_488	D22BH760_493	D22BH761_494	D22BH762_497	D22BH763_505	D22BH766_533	D22BD536_469	CRS403	CRS440	CRS511	CRS513	CRS514	CRS517	CRS532	CRS534	CRS539	CRS540	CRS548	CRS549	CRS550	CRS552	CRS553	CRS555	CRS556	CRS557	CRS559	CRS560	CRS568	CRS573	CRS579	CRS584	CRS592	CRS606	CRS608	CRS612	CRS618	CRS619	CRS626	CRS629	CRS631	CRS636	CRS652
ABC transporters	506070.75	2756974.32	2673634.26	2887558.19	3009927.91	1642461.4	2172883.99	2982412.65	1969208.51	2568032.99	1654249.29	3049683.38	2281464.88	2477094.48	1574486.9	1925340.81	2329434.11	1619873.4	2601603.42	2904524.58	2349830.29	1891063.8	255779.66	1380127.61	708571.56	1336912.69	330174.52	1412233.69	2770908.13	627679.26	838371.13	2456452.06	813016.84	819191.51	1006084.67	829498.2	851373.9	1246613.47	868159.62	1183361.43	362407.16	1131603.02	346721.18	315675.98	392197.56	540182.86	1065615.78	679017.18	569625.4	610411.82	41317.58	11407698.62	477474.02	443008.11	1162846.95	2125247.56	678341.59	469241.05	120199.24	221882.46	898172.85	165515.54	426797.54	4300832.95	1137736.8	1773606.07	761406.43	482525.64	159377.52	295088.83	2832182.85	535938.51	364617.53	713964.89	275845.88	511083.31	641372.12	675136.53	915198	286503.32	197793.24	910368.46	1809232.01	153746.61	93616.08	2300709.32
Acute myeloid leukemia	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adherens junction	0	7.5	0	0	0	0	0	0	0	20	0	6	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adipocytokine signaling pathway	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adrenergic signaling in cardiomyocytes	16.75	459.25	8.75	795.4	157.25	205.5	40.75	34.5	561	531.25	410.15	185	272	10838.5	78.75	143.5	10383	195.5	1954.75	7201.75	1010.5	423	0	0	0	12.6	0	0	0	0	0	0	0	2	12.5	0	0	20.75	0	0	0	0	0	0	0	0	0	0	0	5.6	0	0	0	0	0	0	0	0	30	0	490	0	0	25	0	0	90	0	0	0	35	0	0	35	0	0	0	45	0	0	0	0	0	0	0	0
African trypanosomiasis	955.5	7188.47	13260.11	14739.81	22912.73	2535.91	1079.6	3183.2	16901.47	16539.31	12125.25	19596.16	15299.66	13672.87	84395.37	2524.08	10259.61	11302.9	11978.88	12007.68	10366.2	12488.79	6239.51	3374.45	6093.17	5715.57	6.33	2786.01	1015.83	252.33	5559	1799.98	1587.33	2059.81	1758.83	1478.98	2269.41	4405.32	22334.5	17112.83	3112.05	4014.49	6649.21	1939.18	2428.17	3287.18	8023.86	1230.69	2740	772.58	419.66	161361.66	7330.35	6726.02	27314.84	10522.58	1933.04	1429.67	1788.36	833.66	14368.33	1902	9305.08	715.61	16910.15	526.04	3951.83	1215.67	904.27	4478	438.33	15462.82	729.42	4282.18	7562.05	6418.32	11026.33	5603.84	25800.52	5259.5	507.33	756.87	13172.55	1042.82	286.17	970.01
AGE-RAGE signaling pathway in diabetic complications	0	10	0	0	0	0	0	0	0	10	9	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alanine, aspartate and glutamate metabolism"	219602.12	446434.62	264910.02	497829.85	480979	326870.16	273584.93	314266.32	357085.23	418506.54	282047.35	492967.39	373111.21	455547.12	705793.48	232233.65	418646.47	249721.02	408150	446918.96	364341.19	298766.45	79152.51	252491.53	102386.39	287360.23	104579.54	267345.9	380968.92	84993.64	94162.16	571150.08	132986.3	165936.79	206339.95	165854.71	150487.42	185213.04	253696.28	313547.73	74564.6	149616.84	85914.32	48332.47	74304.27	85655.2	191898.62	125489.84	116084.79	124778.07	7740.46	1232119.83	106183.63	95751.06	314524.2	312450.99	276382.92	69248.2	28437.71	27878.39	201866.55	33902.87	113172.94	244092.18	217103.79	577458.08	96195.29	50649.28	21559.09	63346.9	163316.97	176771.32	41352.49	117063.26	86730.36	59492.2	151442.79	116111.81	292133.73	66971.76	34677.44	63331.77	214323.3	25980.82	10148.54	258599.51
Alcoholic liver disease	1817.66	31687.75	20894.52	55552.32	51587.91	14647.41	3986.82	17113.85	44154.89	47169.53	38977.33	84683.11	53344.06	60198.41	73062.01	10919.4	56463.27	20715.96	39910	51881.01	18672.82	29663.34	1166.5	7129.73	15723.42	18641.43	1065.67	27383.5	99260.75	5084	19546.42	17703.79	16365	9310.58	8955.8	11660.16	9258.5	14361.89	28153.64	13851.83	3292.26	15510.97	6716.5	3784.76	3915.63	6106.36	12778.72	6182.47	8803.52	4172.57	477.87	162733	6501.09	8690.65	33014.5	80625.08	3181.58	10883.67	1277.09	6108.67	19603.5	3299.72	8054.17	2387.37	12804.64	7692.99	11973.83	3053.66	4234.99	3571.42	2273.54	12952.01	9370.25	13285.42	745.33	7914.27	12214.35	21653	23358.18	2561.67	3337.33	1667.67	5368.01	3627.25	2599.51	103047.33
Alcoholism	0	89	20	1112	114	115	20	0	68	235.67	352	1163	353	7510	0	25	8051	20	823	5105	275	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	45	0
Aldosterone-regulated sodium reabsorption	0	288	0	589.32	92	20	0	12	124	268	205.32	100	152	8552	0	16	8004	32	1136	5712	568	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	392	0	0	20	0	0	72	0	0	0	28	0	0	28	0	0	0	36	0	0	0	0	0	0	0	0
Aldosterone synthesis and secretion	0	652	0	1332.97	207	45	0	27	327	642	466.97	225	355	19242	1.5	36	18015	72	2565	12852	1278	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	882	0	0	45	0	0	162	0	0	0	63	0	0	63	0	0	0	81	0	0	0	0	0	0	0	0
alpha-Linolenic acid metabolism	780.25	5041.23	1748.53	5807.97	9124.47	2551.03	1291.42	1056.6	4442.5	6049.86	3764.81	4821.1	3691.3	3598.7	3148.17	1498.78	3232.1	2902.2	5797.4	3362.41	5652.09	5202.56	19.25	1806.94	31.75	248.25	82	864.32	545.58	19	2196.25	231	31	241.65	215.74	220.98	443	1185.57	181.14	80.33	251.88	345.75	79.38	313.31	222.17	705.36	707.11	317.5	272.42	225.9	13.9	310	104.42	311.64	106.67	64.01	304.53	174.58	59.5	223.42	886.43	68.04	43.67	92.83	98.3	452.53	255.58	456.74	216.01	274.75	161.17	77.58	336.92	2225.53	27.83	304	90.83	123.09	101.34	29.25	2492.5	346.63	6573.95	30.67	133.17	129.1
Alzheimer disease	1134.5	12750.92	1970.73	27926.4	40577.2	2109	4308.5	5319.5	14781.6	20328.91	18458.48	42718.89	25743.86	32742.24	46278.5	2160.91	32535.5	12602.85	18450.01	22988	7620.57	15124.34	71.25	129.34	23	964.59	142	309.84	1073	73	86	283.49	8	1146.09	689.5	450	797.25	6216.26	646.5	189	484	543	51	897	829	2308.41	4416.5	273	372	332	28.1	80395	219.5	909	208	281	464.5	551.5	368.78	262	7002	124.01	157	234	155.2	960	352	250	887	816.5	203	310	476.75	5028.5	40.5	3483.84	95.34	175	102	51	2716	384	526	73	738	313
Amino acid related enzymes	152177.62	682320.76	604209.69	883132.05	906972.31	397273.32	559565.47	591202	662624.7	754809.73	523868.95	910257.11	638066.13	908750.48	1447445.58	403031.02	879551.56	446644.04	738011.31	823330.82	619414.98	551040.5	99188.79	237149.1	161045.82	293921.05	73707.88	310222.13	603324.25	156981.64	205271.11	449680.71	168462.96	153855.9	188010.65	161505.21	156536.12	239990.22	348784.89	355755.13	90021.32	202080.39	116303.66	68161.67	84353.18	121931.81	244567.42	125394.95	129699.7	106401.96	8506.2	3175246.43	134463.91	145574.99	434863.56	563121.95	122368.95	109392.76	38273.55	55614.08	316655.32	46373.78	151769.92	712368.61	271562.7	362821.77	172575.6	98546.59	42392.04	97464.38	470354.32	238262.69	86724.19	191869.41	111083.57	141877.77	218198.5	193504.41	386222.25	92587.03	84222.95	141682.29	381353.91	38268.28	20805.43	542835.11
Amino sugar and nucleotide sugar metabolism	373306.23	1069832.67	818083.01	1000948.93	918686.99	693299.01	1044661.22	1138568.46	763146.34	897238.79	558578.97	889752.57	731529.3	1009750.61	971368.62	791173.29	942822.78	608831.04	955157.63	1045636.33	945997.21	592289.7	188857.72	525992.63	372761.96	612330.34	224217.7	587660.22	923228.75	242804.93	262930.85	1181446.73	345827.24	355575.53	431077.51	354048.55	344914.41	396459.55	627195.35	753947.09	165287.74	538498.91	233279.37	113384.41	166395.83	183397.34	415460.43	284479.42	254517.09	271939.29	14206.92	1274830.25	250371.81	227510.43	821719.43	816042.31	723940.88	173651.34	60979.64	74543.38	392620.52	81166.13	287159.02	2018383.79	650079.86	1095475.22	259154.79	210932.63	45975.16	156005.48	1322911.66	400557.62	129972.27	224575.25	210600.1	79865.01	387446.35	298411.21	707670.29	151567.4	38176.73	136637.13	441630.85	60842.24	21780.06	698424.16
Aminoacyl-tRNA biosynthesis	32361.78	125688.85	175897.29	100536.18	119276.63	32793	279008.4	165335.47	98085.44	89873.01	59010.36	90337.15	87060.68	91144.9	103511.69	112362.18	85654.09	77110.68	124580.7	87414.68	107890.24	73105.19	7388.41	22370.43	67041.19	32390.91	15665.44	51493.16	148379.98	68993.5	52366.23	40113.74	34439	17106.46	25532.55	19602.79	18263	22665.12	57999.29	40118.65	11849	91775.36	23726.85	8500.3	6694.19	13689.77	22757.17	14481.23	17974.05	7663.1	2340.46	251901.91	25561.29	17562.83	86708.6	124858.87	7129.02	20301.98	4886.93	13688.52	32683.99	8272.45	24728.94	461731.38	72361.47	99204.93	37832.37	36591.87	8255.51	11937.83	303229.98	21565.01	24488.12	28773.01	10414.78	12599.42	32444.32	36514.64	55736.4	14144.84	6234.98	26054.72	42551.88	9153.17	2827.84	143034.3
Aminobenzoate degradation	36231.25	62666.6	46335.99	81462.42	66899.87	29846.44	91257.19	67998.34	51357.14	56728.9	46194.51	90591.86	64969.61	71483.39	80414.68	47406.78	69324.76	51896.37	65456.06	70573.91	56406.11	41462.24	12364.42	12625.03	24324.84	19907.31	29262.41	15879.71	40379.49	28350.33	17819.2	11576.94	11226.33	8095.41	7163.29	7333.16	9825.67	18550.61	34121.49	35375.65	7726.05	31858.7	14341.54	7091.87	7234.21	10166.93	24968.42	5943.88	8885.68	4330.73	674	645423.63	17549.36	18258.54	47688.49	49333.08	5813.4	9772.73	3813.73	4782.91	39005.5	4969.83	18032.72	79688.18	38138.11	96658.83	17187.31	13894.28	4611.21	11883.26	52160.96	23978.05	7365.18	24345.6	15192.53	26562.04	26386.07	19053.37	40832.31	9437.76	4656.16	8568.29	25393.05	3596.06	2732.02	38712.81
Amoebiasis	1896	78090.3	85326.12	36194.01	45748.74	33408.39	136525.85	103504.88	18928.63	36786.21	17262.9	18763.96	32100.11	33313.45	12005.04	68266.13	25721.45	32804.47	55403.23	50501.16	55081.49	23583.13	120.6	5569.47	24336	917.75	2478	889.99	3681.49	523.25	10534.8	1203.99	1465	1456.82	2064.42	2257.05	6229.4	11912.66	16276.5	5410.49	1487.39	36237.54	7035.64	2765.03	2594.01	5067.64	8083.58	2964.7	878.42	3118.46	125.5	2675.7	857.51	758.5	24548.49	2192.03	1831.91	633.66	538.32	1948.51	1438.53	449.49	6181.62	229042.69	28375.99	29163.61	7288.58	15531.77	520.52	1804.4	149195.38	683.17	5907.01	4371.51	636.99	471.5	3367.99	1065.66	11251.53	616.5	273	1749.39	20231.49	258.51	213	1836.45
Amphetamine addiction	0	123	28	1554	147	161	28	0	76	312	495	1626	489	10514	1.5	35	11269	28	1150	7147	385	479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	63	0
AMPK signaling pathway	40.5	1463.83	129	3805.79	4327.89	232.68	37	991.5	1390.16	2210.77	2243.88	5771.12	2934.17	3420.5	634.5	158.34	3316.5	1996.67	2299.17	2478.75	912.34	1616.84	14	528.66	10.25	24	0	152	140	75	28	181	8.66	156.34	9	13	383	518	59	34	36	68	18	92	175	227.91	656	0	75	18	1.6	28.5	508.02	76.34	43.34	76.5	77	326	159.86	27	803.5	59.34	5	11.34	33.34	8.68	29.84	29	61	74.16	26.66	43	87.5	527	63	58	42.34	0	39.34	146	26	20	19.34	3.34	21	27.66
Amyotrophic lateral sclerosis	4382.5	36913.5	6069.89	55753.1	82282.34	6025.34	8939.7	14452.4	33085.06	43446.75	34861.32	64980.43	42777.62	50945.94	95858.2	7952.15	48677.82	23657.25	42474.47	43764.24	19672.17	38904.58	149.25	3761.22	85.5	1622.27	300	593.32	3380.66	217	4544.5	877.15	136	2023.19	1955.78	1355.96	2880.75	12157.2	1811.78	611.66	1412.26	759.04	135.76	2033.4	2187.14	5167.17	8517.4	1216.8	852.94	1399.2	104.5	81218.76	493.34	1819.96	403.34	444.02	1338.06	1314.16	936.18	672.84	13998.18	235.09	306.18	491.32	364.8	1881.74	1480.16	864.66	1752.52	1603	581.34	503.66	1154.59	11110.54	204.16	4291.68	231.34	329.68	165.02	118.68	3038	1132.86	13553.7	149.34	1286.34	614.84
Antifolate resistance	124906.24	198280.92	179262.24	231078.12	180877.54	200388.68	77972.4	186767.4	156385.36	189635.56	117596.94	201420.88	137278.44	216299.66	166819.58	119755.32	206045.42	126288.76	195304.62	216678.34	204370.2	130839.7	29230.84	80407.6	61073.36	101884.08	65213.96	104639.68	180625.64	49950.32	52782.76	191952.36	53025.32	58124.4	74530.92	60322.72	55690.16	63650.38	112877.64	118424.64	28311.24	83864.2	38545.52	18833.88	26728	32811.44	68875.4	45562.52	43581.56	43147.24	3560.28	334420	42637.08	38106.68	144753.68	154641	290824.56	27628.32	11300.15	14864.32	73675.28	14385.52	48460.48	311297.4	110073.84	352608.8	48967.12	40492.08	9521.02	26896.02	205313.64	70294.32	24693.86	50199.76	32568.2	18282.95	63278.99	53293.38	127089	28948	12406.64	33566.16	62822.74	11869.96	3714.68	144583.56
Antigen processing and presentation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Antimicrobial resistance genes	1391.49	16193.75	2672.38	9079.38	10390.57	10908.98	38799.93	18573.91	6829.85	9399.7	6875.4	11413.65	14136.15	7653.7	2876.53	15914.76	7457.69	4200.87	12055.58	9697.54	9339.81	9476.18	119.2	13325.15	98.67	685.68	2907.67	3061.26	4229.98	1778	1166.27	2866	8099	2271.67	1386.24	883.42	2381.05	4524.58	838.48	1277.31	725.09	293.68	76.76	1378.67	975.95	2446.77	2520.13	1686.67	635.69	950.12	227.4	2514.23	3148.78	1111.36	1097.13	2311.78	578.23	4152.96	350.53	1335.69	3149.87	625.5	680.71	152828.65	1362.48	31168.05	4621.86	9524.22	464.2	847.72	99719.18	588.83	3749.35	5893.92	536.51	530.07	971	948.21	1305.81	1209.54	270.66	1402.86	8237.31	512.69	502.84	2372.15
Apelin signaling pathway	16.75	99.25	8.75	58.75	42.25	180.5	40.75	19.5	406	196.25	148.5	58	82	148.5	77.25	123.5	378	155.5	530.75	61.75	298.5	296	0	0	0	12.6	0	0	0	0	0	0	0	2	12.5	0	0	20.75	0	0	0	0	0	0	0	0	0	0	0	5.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apoptosis	57911.72	33427.22	3819.05	61054.39	62274.6	50647.02	7927.64	19106	33617.25	51522.97	32223.79	60522.87	42572.66	49225.46	60726.58	18050.21	50336.02	28786.21	50850.91	33707.51	47070.21	37717.98	189.25	336.42	56	1362.87	27042	853.14	2170	117	4476	369.15	58	1720.59	1503.5	1167.66	1026.25	8914.26	1034	289	574	1247.18	121	1222.22	1083	4099.57	6414.5	610.2	547	1243.6	112.1	81130.68	359.5	1360.56	478.02	693.68	139457.74	1272.34	686.82	547.5	9891.18	153.51	223.34	436	414.42	141631.66	1313.16	3680.16	1085.94	1423.5	529.68	446.5	928.25	12596.44	96.82	3856.68	239	319.5	2588.68	112.16	7623	812	14384.2	123.5	855.34	875.5
Apoptosis - fly	6807	74696.52	11698.38	158170.44	242278.2	12222	25668	31395	84660.6	117875.46	107209.92	250724.34	151895.16	179530.44	276588	12716.46	178872	74723.1	106428.06	126705	43458.42	88490.04	427.5	776.04	138	5787.54	852	1859.04	6438	438	516	1700.94	48	6798.54	4137	2622	4387.5	36595.56	3765	1134	2904	3258	306	5382	4818	13190.46	25911	1638	2232	1992	168.6	482370	1317	5454	1248	1686	2787	3309	2176.68	1572	41424	744.06	906	1374	931.2	5760	1956	1500	5322	4899	1176	1860	2860.5	30153	243	20903.04	572.04	996	612	306	16296	2304	3138	438	4428	1878
Apoptosis - multiple species	1134.5	12449.42	1949.73	26361.74	40379.7	2037	4278	5232.5	14110.1	19645.91	17868.32	41787.39	25315.86	29921.74	46098	2119.41	29812	12453.85	17738.01	21117.5	7243.07	14748.34	71.25	129.34	23	964.59	142	309.84	1073	73	86	283.49	8	1133.09	689.5	437	731.25	6099.26	627.5	189	484	543	51	897	803	2198.41	4318.5	273	372	332	28.1	80395	219.5	909	208	281	464.5	551.5	362.78	262	6904	124.01	151	229	155.2	960	326	250	887	816.5	196	310	476.75	5025.5	40.5	3483.84	95.34	166	102	51	2716	384	523	73	738	313
Arabinogalactan biosynthesis - Mycobacterium	245	4717.5	8541.5	20007.2	5121	9687.03	849	6834	18911	9098.34	20873.83	17555.51	9822.5	9345	4797	3914.34	2900	43878	6757.67	25836	30545.18	6326.66	50370.08	10941.03	43532.36	32900	2.64	21692.64	2245.33	1890.97	1401	13410.84	11990.31	10051	10209.72	7482.36	9125.28	970.64	154463	130885.67	21907.36	28952.27	48991.64	10312.3	15292.98	10464.55	36911	7105.02	18485.64	3228.08	3182.28	6969.28	56280.41	50852.99	191927.45	79402.83	11710.72	9007.34	11973.03	3807.92	76102.34	13667.33	67768.42	3332.31	131810.55	453.02	27009.18	6735.42	3688.08	31257.53	1724.95	115756.42	3360	10366.46	59481.76	4437.7	85939.64	42788	186887.75	44592.98	1203.64	765.15	46755.25	7615.53	382.64	2711.95
Arachidonic acid metabolism	83152.63	161234.65	14660.31	137782.39	106951.93	151254.77	17305.22	49929.4	130443.46	159971.94	79935.23	116700.49	101018.26	117547.9	310591.11	57659.46	127415.3	60575.46	180413.36	92148.47	187091.74	111794.88	3073.75	61576.82	315.25	58305.75	6894	51068.96	43022.74	653	20948.75	150890.32	14941	40125.15	50220.22	39521.7	32849	52802.43	2893.58	32850.23	9755.16	17618.53	2154.42	6723.93	13864.51	21049.76	35941.09	29883.34	20257.26	36428.66	466.46	4786.2	1385.76	2579.92	1177.37	2166.75	688729.25	4542.46	3137.14	3076.26	8090.65	2071.48	2289.37	3108.85	1255.14	174052.23	11313.38	28290.86	1193.99	4611.43	3417.91	2056.74	2738.76	25282.45	552.77	1935.86	1015.13	1605.27	12140.06	978.39	8100.5	2285.05	71161.13	1150.01	1438.55	1708.02
Arginine and proline metabolism	139877.8	515455.23	297184.03	594510.16	573001.62	323871.27	301335.94	363111.58	422112.21	527564.23	348072.78	672884.55	457012.21	568670.46	745029.84	241317.46	539312.71	284858.78	511661.32	553194.65	404046.6	359438.94	53848.12	224199.91	66048.03	251096.17	76965.68	245156.39	435265.55	42991.4	129233.76	469917.17	131237.97	140397.77	174783.92	147610.96	136774.05	197019.92	197209.3	235532.86	62554.97	92973.69	59653.38	47864	66154.29	87146.27	181677.83	108338.2	101558.87	106407.69	5470.97	2192972.38	66741.79	81737.65	233581.05	354062.48	272173.67	74203.15	22716.55	33723.46	194850.02	27795.02	82629.63	398102.51	144796.74	384014.02	100001.81	61055.61	25892.11	54856.3	263110.81	137718.97	53595.95	125012.32	57227.98	95362.76	119220.8	117213.45	217450.07	44412.14	29460.8	61184.89	246398.04	23401.93	14423.06	362096.12
Arginine biosynthesis	29743.03	282585.26	220256.15	374506.67	373998.56	189218.07	84564.42	238724.98	301528.7	330412.87	229076.95	414848.6	271749.08	346092.3	534628	155504.05	330162.48	186038.83	288796.58	340856.75	231919.19	230269.58	40685.3	159563.83	68004.69	217595.43	6256.94	213053.89	462068.28	28473.07	96888.36	371942.27	83578.64	108930.14	140007.75	128040.81	109578.03	140675.54	174585.36	190732.1	46757.45	86322.4	51432.49	33770.3	50303.07	59196.53	129860.7	86155.61	86235.45	84800.71	4587.37	1702568.43	49887.8	67104.68	207428.67	376080.05	90099.58	46604.89	16837.98	31061.41	143424.67	23112.81	68440.46	241884.77	103862.26	84981.2	86279.25	38113.65	20577.41	39160.48	159709.88	115160.54	48512.62	79629.05	40412.41	71662.87	102142.84	115911.89	180779.1	32261.76	32885.81	46075.04	127839.45	20150.4	8725.72	417625.12
Arrhythmogenic right ventricular cardiomyopathy	16.75	95.25	10	51.75	50.25	180.5	40.75	19.5	358	169.25	148.5	58	69	148.5	77.25	123.5	372	155.5	563.75	61.75	356.5	288	0	0	0	12.6	0	0	0	0	0	0	0	2	12.5	0	0	20.75	0	0	0	0	0	0	0	0	0	0	0	5.6	0	0	4	0	0	8	0	0	0	0	8	0	0	0	6	0	0	2	0	70	0	0	0	38	0	0	7	0	0	0	0	0	0	0	0	0
Ascorbate and aldarate metabolism	4007.16	51515.36	93897.48	82794.02	78126.52	16768.15	9762.82	66746.23	68415.45	72551.23	55220.54	115869.23	72443.56	80177.67	104044.5	28999.05	77899.39	34568.21	75096.88	72580.99	59961.26	58016.74	1330.3	21493.8	16137.17	20372.78	4380.67	28129.27	104037.72	5642.25	32984.49	18470.57	18236	12212.57	12357.57	13969.16	17382.7	33440.3	30770.47	15193.47	5031.85	16064.62	6780.92	7024.52	7279.79	13428.84	25347.25	11064.71	10278.68	7726.04	634.67	166265.76	7847.45	12409.65	34728.88	83001.48	5683.48	13106.64	1724.49	7580.36	29780.82	3756.05	8811.01	306352.01	15226.26	45927.89	19417.12	6306.42	7066.73	6185.14	199669.89	14103.65	17159.11	25755.05	1355.65	10685.1	13503.67	23007.1	24606.14	3032.01	4308.83	9596.56	45696.83	4058.78	4456.19	105236.39
ATP-dependent chromatin remodeling	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atrazine degradation	394	21091.81	9532.44	30597.41	40108.35	5286.31	1652.41	10251.9	25014.9	25025.22	27169.18	47718.82	25740.43	24212	9213.2	7420.95	23256.62	20860.49	20930.46	21116.09	11692.62	20896.94	1234	10673.66	17513.75	20385.35	33	24131.54	93518.48	2117	24128.51	13179.16	4047.99	5485.3	7676.97	11176.94	7921.49	11766.96	67161.54	21430.99	3294.64	6024.35	12135.14	2860.87	3309.01	4218.4	8037.71	6459.02	8609.01	3810.2	1436.38	403567.65	2933.28	8633.21	72171.84	80137.95	5727.68	3700.32	1339.16	6141.01	28338.61	3005.22	16144.6	2201.34	5218.81	2062.29	16932.69	2378.16	3805.61	3740.56	1935.83	29483.99	9476.51	11537.62	906.09	15645.09	13625.94	21683.52	55771.35	1715.66	1318.5	16380.35	19044.63	3054.53	1407.52	102048.86
Autophagy - animal	0	37	12	856.66	40	10	0	16	230	117	248.66	121	84	162	24	10	150	8	149	95	76	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Autophagy - yeast	1389.32	14760.46	21653.5	24805.21	17011.2	16168.84	1622	16215.5	13701.02	20867.88	17103.29	33425.6	23583.78	33363.8	4144.34	9052.26	26522.9	11174.8	18105.42	30739.16	15738.3	14226.22	2326	27982	10002	28534	462	24253	19355	350.5	1642.5	75678	8440	19287.14	24037.8	18439	16402	19444.14	44885	26420	4496	11608.3	8512	3129.8	7911.14	7127.02	15765.4	14587.8	10008.6	16205.74	844.42	699.2	1008.68	1650.68	47129.68	1223.5	3302	2639.34	1170.34	556.34	15443.34	1283.34	11175.84	446.66	1537.64	11722.98	1875.66	1683.66	292.5	1728.34	511.34	19350.68	784.66	6429.32	725.5	886.34	2390.68	846.76	36463.58	4411.68	525.66	278.5	634.68	550	443.34	462.66
Axon guidance	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1.5	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Axon regeneration	0	0	0	0	0	0	0	0	0	0	8	7.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B cell receptor signaling pathway	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
