pathway	N367M	N515M	TD181207731	TD181207732	TD181207733	TD181207736	TD181207739	X010M	X254	X275	X283	X294	X314	X321	X341	X353	X360	X361	X385	X391	X392	X431	D22BD538_461	D22BD540_524	D22BD542_455	D22BD543_285	D22BD546_302	D22BD547_260	D22BD548_308	D22BD550_238	D22BD552_244	D22BD554_316	D22BD555_248	D22BH739_268	D22BH741_298	D22BH742_330	D22BH744_370	D22BH746_377	D22BH747_383	D22BH748_389	D22BH750_427	D22BH752_439_2	D22BH753_454_1	D22BH757_476	D22BH759_488	D22BH760_493	D22BH761_494	D22BH762_497	D22BH763_505	D22BH766_533	D22BD536_469	CRS403	CRS440	CRS511	CRS513	CRS514	CRS517	CRS532	CRS534	CRS539	CRS540	CRS548	CRS549	CRS550	CRS552	CRS553	CRS555	CRS556	CRS557	CRS559	CRS560	CRS568	CRS573	CRS579	CRS584	CRS592	CRS606	CRS608	CRS612	CRS618	CRS619	CRS626	CRS629	CRS631	CRS636	CRS652
Glutamatergic synapse	0	138.34	0	355.6	292	18	30	58	142	401.86	372	1190	202.66	84	26	0	0	11.34	302.66	20	52	38	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	66	46	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutathione metabolism	58418.35	132320.38	104432.65	199707.92	209861.75	60910.4	77555.91	96535.96	140083.5	162632.31	114959.45	222943.02	144913.95	176444	215141.44	67889.26	167913.36	96896.08	144412.32	153307.92	112208.39	112907.32	21678.23	75585.51	25186.36	83132.94	31798.84	77326.19	138385.28	30845.91	34508.8	145030.36	25776.99	44687.41	61607.07	46749.63	43792.6	62590.51	53712.5	80798.94	24209.77	39197.09	20756.29	16571.7	21196.52	32639.36	61923.62	33189.82	35334.35	31937.26	2927.55	892020.93	30211.42	31350.17	69934.7	116041.15	80273.52	18710.45	9324.9	12042.18	72282.97	10727.79	28220.75	157644.75	49909.19	149141.69	38502.52	18237.46	10794.86	20655.82	103900.11	44226.78	18631.22	50053.79	24407.54	39021.79	44749.87	39851.96	67859.56	21734.65	18105.65	35878.83	100451.59	9688.34	4518.2	109067.82
Glycerolipid metabolism	40588.94	267344.71	246477.05	272001.53	283003.98	133913.29	314996.09	300416.7	236847.38	247993.99	167682.53	302879.63	240253	282201.14	277059.45	200730.23	270421.29	165027.73	260672.19	293848.56	209093.01	175999.98	33361.69	133203.73	102844.45	160663.74	26975.36	192065.11	423912.77	77058.24	109207.73	288454.88	136245.65	94136.58	111788.81	97406.93	90958.48	112002.1	119764.04	186236.42	38820.18	149175.32	47992.44	32372.29	41174.03	52065.01	103465.69	74535.02	69255.52	62544.88	4453.92	821404.72	54294.89	58464.22	166015.6	347476.91	50952.78	73484.78	14171.92	30291.54	99170.55	21605.81	56998.94	471170.49	163240.34	157531.2	78683.19	49161.01	18909.33	34697.36	311193.41	75484.3	49399.24	67957.76	34239.03	40211.88	91816	105842.7	127254.36	36387.52	12043.47	33174.49	113152.58	20784.17	10758.53	391321.3
Glycerophospholipid metabolism	115719.22	348236.69	236874.7	364333.35	367141.14	202298.59	354297.21	301995.32	301607.21	314786.34	213867.28	373473.36	278960.14	339655.69	451382.48	217361.11	323136.32	206955.83	334766.16	336000.61	288665.48	236198.04	40641.4	197338.59	85903.95	209192.56	56560.2	207237.56	362310.88	92492.49	97559.94	410609.85	103662.98	119867.16	151398.66	124796.14	115132.66	148592.59	111101.2	159337.55	50317.26	144870.79	47137.36	36844.95	52710.57	66578.75	133080.3	94963.63	84048.18	90704.25	4138.84	1144478.65	53740.07	60582.12	152139.66	275639.35	159839.59	55413.38	16829.73	27070.05	114381.7	21841.46	57933.79	394646.7	129241.26	311165.01	88484.42	54319.14	19655.72	39649.31	260552.38	78640.44	42900.35	95671.34	40727.41	54453.99	89405.36	89989.38	126721.83	37419.49	23177.47	97415.15	182945.87	19002.88	9443.05	288119.58
"Glycine, serine and threonine metabolism"	139611.71	667245.64	541315.8	803906.4	698078.75	513096.42	500791.48	600457.02	616973.07	663065.93	431810.32	778878.62	567557.9	737410.72	815992.83	410953.8	705372.1	393113.92	630577.65	737562.31	540431.04	455542.53	78313.15	229930.94	179038.58	314812.6	54604.07	357271.92	804821.62	134053.71	210950.23	515477.09	212065.29	164850	207997.97	190060.11	171812.1	219118.07	300201.2	346147.53	82764.9	236275.82	102444.08	63945.5	84013.14	102974.45	226635.96	135788.84	138528.28	120926.41	10715.86	1805562.26	96162.2	129195.98	384566.55	707450.93	557868.73	119046.42	32487.74	59893.01	253009.76	43960.38	129406.3	939873.95	305852.99	408377.14	172794.38	103505.77	40288.47	79062.74	619270.08	196984.73	102209.14	154570.13	82032.46	88277.8	201793.59	219948.66	325853.23	78292.67	39354.78	93216.15	252977.17	39758.55	19753.91	774286.53
Glycolysis / Gluconeogenesis	193022.06	610073.31	402845.82	672780.99	617690.08	367591.91	541086.06	543693.43	549523.78	591014.06	415101.18	695189.9	523752.5	707731.55	795957.54	372199.82	670803.93	412795.55	585049.03	703317.37	537493.04	420899.2	134828.49	359857.46	217167.03	423366.69	96036.32	408046.02	646639.95	144509.45	165433.56	791503.12	244715.62	238450.9	288847.62	237927.48	227528.88	259518.97	454529.71	513886.97	114600.05	294804.11	156339.38	76567.1	114229.54	128659.98	284553.3	184775.19	174229.59	172229.59	13671.66	1970227.88	165955.92	170056.8	578710.14	591020.03	431403.25	128041.81	44890.53	50636.28	313169.67	56990.51	202795.22	1017593.28	448839.17	561590.03	168947.02	100369.76	36252.76	109569.52	667793.41	307488.36	85539.74	169217.13	148636.96	97262.23	271733.77	215330.07	514903.35	116350.58	38923.25	83524.85	329375.35	42964.48	17921.75	512810.44
Glycosaminoglycan degradation	46484.6	65474.37	17719.83	77361.7	54530	61005.98	13650.5	34752.05	62914.51	74582.46	42679.29	70426.3	53676.05	72610.05	109183.1	32665.04	73955.32	32632.36	80321.12	65420	76715.27	51227.81	7716.01	33261.25	1445.67	34350.44	2181.33	29107.66	27481.41	691.58	6506.17	78348.13	8644	23298.41	27463.58	21074.03	19400.91	27764.84	2001.25	28483.45	7888.18	11128.68	3982.97	4988.65	9340	11748.58	24113.12	15736.85	12919.42	18522.68	705.49	82778.7	12248.92	7869.33	4464.33	11266.43	208827.94	3656.27	3315.53	1762.74	12816.91	3106.22	5555.92	1535.12	16837.18	100123.86	8487.25	9316.75	1401.34	6053.26	1498.02	8174.24	1795.67	15150.38	7849.37	4513.49	10444.82	6033.97	11964.92	6365.41	3237.83	3970.83	26913.61	2153.32	949.02	1622.61
Glycosphingolipid biosynthesis - ganglio series	20202.97	36525.99	2351.93	30094.62	19926.38	35900.42	3357.74	11689.9	29258.24	35459.09	17144.45	25539.09	22416.34	26694.7	75281.65	13290.78	29426.75	12960.59	40753.54	20517.31	42540.2	24044.3	754	14039	55	14390.25	1662	12119	10346.5	149	3590	37549.33	3712	9850.05	12393.25	9714.69	7880	12340.93	587.54	8152.31	2249.88	4145.32	479.07	1445	3299.5	4713.67	8449.69	7232.71	4860	8937.74	106.19	985.8	291.75	568	214.34	493.68	172025.29	1004.68	739.66	621	1535.84	483.34	549.34	735.34	240.06	43179.66	2636.66	6737.66	245.24	1043.92	746.35	486	432	5189.09	117.32	366.59	185.66	322.5	2959.01	222.66	191	341.29	12871.82	275	329.51	330.18
Glycosphingolipid biosynthesis - globo and isoglobo series	20202.97	39044.67	4360.25	34311.68	23745.32	36108.76	3508.94	17507.5	32015.9	40815.49	18939.23	30087.99	28647.86	32623.9	77022.19	16360.12	36419.15	14303.27	44903.26	25647.91	45132.14	28191.34	786	17542.38	81	14430.25	1664	16092	11087.16	3023	5026	41853.99	16974	11953.85	13708.09	10339.99	9462	17669.57	1428.2	9302.97	2597.64	4145.32	481.83	2760.34	4432.84	6311.01	11736.35	10129.71	5157.34	10180.54	131.59	1360.48	521.09	966	391.66	1809.02	172367.67	7769.34	773	776.34	3125.52	545.34	631.34	1358	470.32	43548.34	3128.66	7378.98	559.12	1269.92	1496.35	692.66	625.34	5644.43	226.66	555.25	449.66	865.18	3156.35	296	271	671.97	13347.08	370.34	1163.51	2031.52
Glycosphingolipid biosynthesis - lacto and neolacto series	0	8.8	0	0	6.4	0	0	4.6	6.6	10	5.2	7	0	19.6	0	0	13.2	6.4	16.4	5	5	17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
